"ADM1_EN","Avg_Y","Avg_E","Avg_SMR","Avg_RR","Min_RR","Max_RR","Kategori"
"Banten",11829,8486.24,1.3893,1.3891,0.922,1.6169,"Risiko Tinggi"
"Jawa Barat",47251,34343.14,1.3728,1.3728,0.9204,1.7973,"Risiko Tinggi"
"DKI Jakarta",8664,7376.85,1.1734,1.1733,0.7647,1.4861,"Risiko Tinggi"
"Gorontalo",926,834.67,1.1082,1.1077,0.7715,1.4515,"Risiko Tinggi"
"Jawa Tengah",28572,25859.88,1.1016,1.1016,0.7019,1.5874,"Risiko Tinggi"
"Sulawesi Utara",1846,1850.33,0.9967,0.9962,0.7433,1.2688,"Risiko Rendah"
"Jawa Timur",28086,28650.51,0.978,0.978,0.6351,1.3277,"Risiko Rendah"
"Papua",2131,2274.09,0.9075,0.9097,0.6676,1.3123,"Risiko Rendah"
"Sulawesi Barat",929,1018.91,0.9071,0.9066,0.6308,1.1546,"Risiko Rendah"
"Sulawesi Tengah",1928,2129.04,0.9005,0.9008,0.5561,1.2247,"Risiko Rendah"
"Maluku Utara",817,920.03,0.8822,0.8828,0.5127,1.153,"Risiko Rendah"
"Kalimantan Barat",3391,3869.48,0.8719,0.8719,0.5383,1.0823,"Risiko Rendah"
"Papua Barat",539,672.92,0.8733,0.8697,0.3622,1.2952,"Risiko Rendah"
"Sulawesi Selatan",5383,6446.27,0.8331,0.8331,0.5762,0.9916,"Risiko Rendah"
"DI Yogyakarta",2131,2588.9,0.8208,0.8209,0.4758,1.0817,"Risiko Rendah"
"Sumatera Utara",8600,10578.17,0.8079,0.8079,0.478,1.0678,"Risiko Rendah"
"Sulawesi Tenggara",1518,1889.58,0.798,0.7984,0.4725,1.0384,"Risiko Rendah"
"Maluku",1050,1319.78,0.7927,0.7933,0.4487,1.0369,"Risiko Rendah"
"Aceh",2890,3773.45,0.7616,0.7618,0.4821,0.9815,"Risiko Rendah"
"Kalimantan Selatan",2217,2909.47,0.7556,0.7558,0.3292,1.1361,"Risiko Rendah"
"Kalimantan Utara",380,503.72,0.75,0.7517,0.4984,0.9613,"Risiko Rendah"
"Lampung",4796,6411.07,0.7456,0.7455,0.5668,0.9385,"Risiko Rendah"
"Sumatera Barat",2918,3956.26,0.7332,0.7334,0.3733,0.9232,"Risiko Rendah"
"Sumatera Selatan",4426,6025.63,0.7318,0.7318,0.4244,0.9093,"Risiko Rendah"
"Kalimantan Timur",1994,2731.64,0.727,0.7269,0.4331,1.1212,"Risiko Rendah"
"Kalimantan Tengah",1389,1910.03,0.7214,0.7221,0.376,1.1063,"Risiko Rendah"
"Bali",2201,3047.66,0.7189,0.7193,0.3388,1.1928,"Risiko Rendah"
"Riau",3316,4582.25,0.7191,0.7193,0.4569,1.0378,"Risiko Rendah"
"Nusa Tenggara Barat",2618,3824.42,0.6805,0.6809,0.4415,0.8662,"Risiko Rendah"
"Jambi",1628,2532.94,0.6379,0.6381,0.3307,0.9353,"Risiko Rendah"
"Kepulauan Riau",947,1490.92,0.6335,0.634,0.5021,0.7271,"Risiko Rendah"
"Kepulauan Bangka Belitung",660,1041.25,0.6297,0.6307,0.3759,0.9046,"Risiko Rendah"
"Nusa Tenggara Timur",2384,3827.44,0.6181,0.6188,0.3884,0.8935,"Risiko Rendah"
"Bengkulu",758,1436.4,0.5248,0.5256,0.2948,0.6909,"Risiko Rendah"
