"Provinsi","Tahun","Rate_per100k","Sanitasi","Kemiskinan","Merokok","Kepadatan","Penduduk","RumahLayak","LamaSekolah","AirMinum","Penduduk_jiwa","Y","E","SMR","RR","Provinsi_geo"
"Aceh",2020,33.4,77.06,15.43,28.06,91,5274.9,63.21,9.71,87.66,5274900,1762,3654.47714513198,0.482148315620774,0.4821,"Aceh"
"Aceh",2021,34.61,77.55,15.53,28.3,92,5333.7,64.43,9.77,88.79,5333700,1846,3695.21407969638,0.4995651023693,0.5005,"Aceh"
"Aceh",2022,52.56,77.48,14.75,27.58,95,5407.9,64.18,9.79,89.7,5407900,2842,3746.6202114086,0.758550330600898,0.7593,"Aceh"
"Aceh",2023,62,78.85,14.45,28.66,96,5482.5,65.91,9.89,89.74,5482500,3399,3798.30346512466,0.894873206211406,0.8953,"Aceh"
"Aceh",2024,66,81.1,12.64,28.61,98,5554.8,67.76,9.95,90.08,5554800,3666,3848.39326731865,0.952605346010875,0.9523,"Aceh"
"Aceh",2025,68,82.21,12.22,28.19,99,5626,71.15,10.42,92.06,5626000,3826,3897.72098400207,0.981599251383964,0.9815,"Aceh"
"Sumatera Utara",2020,33.1,81.08,9.14,27.28,203,14799.4,67.44,9.83,89.68,14799400,4899,10253.0984590544,0.477806783926251,0.478,"Sumatera Utara"
"Sumatera Utara",2021,35.29,82.02,8.49,27.24,205,14936.2,69.48,9.88,90.89,14936200,5271,10347.8741843675,0.509379985307791,0.5098,"Sumatera Utara"
"Sumatera Utara",2022,56.45,82.3,8.33,25.32,209,15115.2,67.26,9.99,92.13,15115200,8533,10471.8862810857,0.814848420901237,0.8149,"Sumatera Utara"
"Sumatera Utara",2023,69,84.18,8.15,26.28,212,15386.6,70.95,10.07,92.19,15386600,10617,10659.9135606908,0.995974305002902,0.9958,"Sumatera Utara"
"Sumatera Utara",2024,68,85.73,7.19,26.69,215,15588.5,73.47,10.18,92.94,15588500,10600,10799.7908921287,0.981500485136768,0.9814,"Sumatera Utara"
"Sumatera Utara",2025,74,87.47,7.24,26.41,218,15785.8,76.89,10.29,93.24,15785800,11681,10936.4813205226,1.06807661967843,1.0678,"Sumatera Utara"
